,nLabor,nLib,nThird,Winner
321,0,145,6,Coalition
322,0,145,6,Coalition
323,0,145,6,Coalition
324,0,145,6,Coalition
325,0,145,6,Coalition
326,0,145,6,Coalition
327,0,145,6,Coalition
328,0,145,6,Coalition
329,0,145,6,Coalition
330,0,145,6,Coalition
331,0,145,6,Coalition
332,0,145,6,Coalition
333,0,145,6,Coalition
334,0,145,6,Coalition
335,0,145,6,Coalition
336,0,145,6,Coalition
337,0,145,6,Coalition
338,0,145,6,Coalition
339,0,145,6,Coalition
340,0,145,6,Coalition
341,0,145,6,Coalition
342,0,145,6,Coalition
343,0,145,6,Coalition
344,0,145,6,Coalition
345,0,145,6,Coalition
346,0,145,6,Coalition
347,0,145,6,Coalition
348,0,145,6,Coalition
349,0,145,6,Coalition
350,0,145,6,Coalition
351,0,145,6,Coalition
352,0,145,6,Coalition
353,0,145,6,Coalition
354,0,145,6,Coalition
355,0,145,6,Coalition
356,0,145,6,Coalition
357,0,145,6,Coalition
358,0,145,6,Coalition
359,0,145,6,Coalition
360,0,145,6,Coalition
361,0,145,6,Coalition
362,0,145,6,Coalition
363,0,145,6,Coalition
364,0,145,6,Coalition
365,0,145,6,Coalition
366,0,145,6,Coalition
367,0,145,6,Coalition
368,0,145,6,Coalition
369,0,145,6,Coalition
370,0,145,6,Coalition
371,0,145,6,Coalition
372,0,145,6,Coalition
373,0,145,6,Coalition
374,0,145,6,Coalition
375,0,145,6,Coalition
376,0,145,6,Coalition
377,0,145,6,Coalition
378,0,145,6,Coalition
379,0,145,6,Coalition
380,0,145,6,Coalition
381,0,145,6,Coalition
382,0,145,6,Coalition
383,0,145,6,Coalition
384,0,145,6,Coalition
385,0,145,6,Coalition
386,0,145,6,Coalition
387,0,145,6,Coalition
388,0,145,6,Coalition
389,0,145,6,Coalition
390,0,145,6,Coalition
391,0,145,6,Coalition
392,0,145,6,Coalition
393,0,145,6,Coalition
394,0,145,6,Coalition
395,0,145,6,Coalition
396,0,145,6,Coalition
397,0,145,6,Coalition
398,0,145,6,Coalition
399,0,145,6,Coalition
400,0,145,6,Coalition
401,0,145,6,Coalition
402,0,145,6,Coalition
403,0,145,6,Coalition
404,0,145,6,Coalition
405,0,145,6,Coalition
406,0,145,6,Coalition
407,0,145,6,Coalition
408,0,145,6,Coalition
409,0,145,6,Coalition
410,0,145,6,Coalition
411,0,145,6,Coalition
412,0,145,6,Coalition
413,0,145,6,Coalition
414,0,145,6,Coalition
415,0,145,6,Coalition
416,0,145,6,Coalition
417,0,145,6,Coalition
418,0,145,6,Coalition
419,0,145,6,Coalition
420,0,145,6,Coalition
421,0,145,6,Coalition
422,0,145,6,Coalition
423,0,145,6,Coalition
424,0,145,6,Coalition
425,0,145,6,Coalition
426,0,145,6,Coalition
427,0,145,6,Coalition
428,0,145,6,Coalition
429,0,145,6,Coalition
430,0,145,6,Coalition
431,0,145,6,Coalition
432,0,145,6,Coalition
433,0,145,6,Coalition
434,0,145,6,Coalition
435,0,145,6,Coalition
436,0,145,6,Coalition
437,0,145,6,Coalition
438,0,145,6,Coalition
439,0,145,6,Coalition
440,0,145,6,Coalition
441,0,145,6,Coalition
442,0,145,6,Coalition
443,0,145,6,Coalition
444,0,145,6,Coalition
445,0,145,6,Coalition
446,0,145,6,Coalition
447,0,145,6,Coalition
448,0,145,6,Coalition
449,0,145,6,Coalition
450,0,145,6,Coalition
451,0,145,6,Coalition
452,0,145,6,Coalition
453,0,145,6,Coalition
454,0,145,6,Coalition
455,0,145,6,Coalition
456,0,145,6,Coalition
457,0,145,6,Coalition
458,0,145,6,Coalition
459,0,145,6,Coalition
460,0,145,6,Coalition
461,0,145,6,Coalition
462,0,145,6,Coalition
463,0,145,6,Coalition
464,0,145,6,Coalition
465,0,145,6,Coalition
466,0,145,6,Coalition
467,0,145,6,Coalition
468,0,145,6,Coalition
469,0,145,6,Coalition
470,0,145,6,Coalition
471,0,145,6,Coalition
472,0,145,6,Coalition
473,0,145,6,Coalition
474,0,145,6,Coalition
475,0,145,6,Coalition
476,0,145,6,Coalition
477,0,145,6,Coalition
478,0,145,6,Coalition
479,0,145,6,Coalition
480,0,145,6,Coalition
481,0,145,6,Coalition
482,0,145,6,Coalition
483,0,145,6,Coalition
484,0,145,6,Coalition
485,0,145,6,Coalition
486,0,145,6,Coalition
487,0,145,6,Coalition
488,0,145,6,Coalition
489,0,145,6,Coalition
490,0,145,6,Coalition
491,0,145,6,Coalition
492,0,145,6,Coalition
493,0,145,6,Coalition
494,0,145,6,Coalition
495,0,145,6,Coalition
496,0,145,6,Coalition
497,0,145,6,Coalition
498,0,145,6,Coalition
499,0,145,6,Coalition
500,0,145,6,Coalition
501,0,145,6,Coalition
502,0,145,6,Coalition
503,0,145,6,Coalition
504,0,145,6,Coalition
505,0,145,6,Coalition
506,0,145,6,Coalition
507,0,145,6,Coalition
508,0,145,6,Coalition
509,0,145,6,Coalition
510,0,145,6,Coalition
511,0,145,6,Coalition
